id,comentario,etiqueta
134,Muy buena oportunidad de trabajo,lo mejor
135,El talento humano y la oportunidad de crecimiento y formación,lo mejor
136,Calidad humana,lo mejor
137,Buen promedio salarial,lo mejor
138,Podría incentivar más a sus colaboradores,lo mejor
139,Calidad en los procesos y compromiso con cliente interno y externo.,lo mejor
140,calidez humana de todos los compañeros,lo mejor
141,Oportunidad de aprendizaje,lo mejor
142,"Cambio de administradores mas seguido, se relajan mucho y no quieren ayudar al operario.",lo mejor
143,Planchero,lo mejor
144,Horarios,lo mejor
145,"Puntualidad en todo el tema legal de prestaciones de ley, y al momento de cancelar la quincena",lo mejor
147,"Su trazabilidad encuestion a los anfitriones, la calidad humana",lo mejor
148,El sentir por su peesonal,lo mejor
149,se trabaja bueno,lo mejor
150,EL trato del personal y el cumplimiento de pago,lo mejor
151,"El ambiente laboral, la formación y capacitación.",lo mejor
152,El buen ambiente laboral,lo mejor
153,LA CALIDEZ HUMANA,lo mejor
154,En cuanto al talento humano se diferencian por estar atentos de sus colaboradores y están pendientes,lo mejor
155,La honestidad y la responsabilidad con el personal y los servicios que prestan,lo mejor
156,seguro medico y beneficios para el trabajador,lo mejor
157,"Equipo, adaptabilidad",lo mejor
158,Lo humanos que son y como lo apoyan a uno,lo mejor
159,Crecimiento personal crecimiento financiero,lo mejor
160,prestaciones de ley,lo mejor
161,en la empresa daria dia a dia todo de mi para que cada dia la empresa cresca y se venda bastante,lo mejor
162,Pagos Cumplidos,lo mejor
163,"Colaboradores, cumplimiento y buen trato",lo mejor
164,El talento humano que lo compone.,lo mejor
165,Muy buenos ingresos,lo mejor
166,Beneficios a sus trabajadores,lo mejor
167,El talento humano que lo atesora,lo mejor
168,Excelente equipo de trabajo,lo mejor
169,Remuneración,lo mejor
170,Programas de formación e incentivos para sus colaboradores,lo mejor
171,"Muy estable, muy exitosa",lo mejor
172,Ambiente laboral,lo mejor
173,Salarios altos en comisiones a sus asesores,lo mejor
174,Muy puntual con el pago .,lo mejor
175,que es una empresa familiarmente responsable y dan beneficios a las personas para su tiempo libre,lo mejor
176,oportunidad de crecimiento y ambiente laboral,lo mejor
177,"La atención que tienen para el empleado, y el respeto de los derechos humanos.",lo mejor
178,Incentivos,lo mejor
179,"Es una multinacional, cumplida en pagos",lo mejor
180,El cumplimiento y buen pago del salario,lo mejor
181,Los pagos muy puntuales,lo mejor
182,el area de bienestar y desarrollo,lo mejor
183,Que ase los trabajos muy bien,lo mejor
184,calidad humana,lo mejor
185,Humanidad,lo mejor
186,Salario,lo mejor
187,Q es unq exelente empresa q se preocupa por el vienestar de sus trabajadores,lo mejor
188,Buenas presatciones,lo mejor
189,Ambiente laboral y beneficios para el empleado,lo mejor
190,La gestión humana,lo mejor
191,LA INCLUSIÓN DE LAS PERSONAS,lo mejor
192,"la confianza y la seguridad que se brinda al colaborador, y la atención con uno.",lo mejor
193,Talento humano,lo mejor
194,Si buena capacitacion,lo mejor
195,Todo es bueno,lo mejor
196,El valor que le dan al talento humano,lo mejor
197,Ambiente laboral y trabajo equipo,lo mejor
198,La amabilidad y lo acogedor que es estar en la empresa,lo mejor
199,el talento humano que labora en servicio,lo mejor
200,La flexibilidad que brindan a sus trabajadores con los horarios para estudiar.,lo mejor
201,"Buen ambiente laboral,cultura organizacional,compromiso.",lo mejor
202,El sentido humano de todos los lideres,lo mejor
203,Talento humano y tiempo de calidad,lo mejor
204,"la estabilidad, el cumplimiento y seriedad en los pagos de sueldos, premios y comisiones.",lo mejor
205,Los beneficios para los colaboradores,lo mejor
206,Estabilidad laboral,lo mejor
207,Bienestar del personal,lo mejor
208,valoran a sus trabajadores,lo mejor
209,Su compañerismo y de la calidad de sus empaques gracias a la calidad de empleados.,lo mejor
210,Su buen personal administrativo y su área de seguridad laboral .,lo mejor
211,la calidad de personas y el ambiente laboral que hace una forma de trabajo mas comoda,lo mejor
212,Las personas que trabajan.,lo mejor
213,Calidad humana,lo mejor
214,presta buen servicio a los clientes,lo mejor
215,Se preocupa por los empleados y es muy puntual en los pagos.,lo mejor
216,Puntualidad y enseñanza,lo mejor
217,Una empresa con un ámbito muy grande en generar empleo .,lo mejor
218,Los jefes son personas muy cordiales que saben dirigir un equipo de la mejor forma,lo mejor
219,Son puntuales en todo lo que tiene que ver con pagos cesantias,lo mejor
220,El buen ambiente laboral,lo mejor
221,Estabilidad laboral,lo mejor
222,su talento humano es admirable.,lo mejor
223,"Su ambiente laboral, compañerismo, calidad de atención al usuario.",lo mejor
224,Talento humano,lo mejor
225,que es super buena,lo mejor
226,Mensajeria,lo mejor
227,Su gente,lo mejor
228,trabajo en grupo,lo mejor
229,El sentido de pertenencia y la gentileza con quienes están conociendo la organización,lo mejor
230,Su ambiente laboral,lo mejor
231,La calidad del ambiente laboral,lo mejor
232,"La estabilidad,la humanidad",lo mejor
233,"Acompañamiento constante, oportunidades de aprendizaje.",lo mejor
234,Que es una excelente empresa con muchas oportunidades de crecer y poder obtener muchos logros.,lo mejor
235,Buen acompañamiento personal y laboral,lo mejor
236,Brindan la oportunidad de crecer en cuanto Alo laboral,lo mejor
237,El buen cuidado al trabajador,lo mejor
238,Su humanidad y humildad de los jefes.,lo mejor
239,calidad humana,lo mejor
240,Salario,lo mejor
241,Hacer siempre bien mi trabajo,lo mejor
242,La excelente calidad humana de los jefes y compañeros,lo mejor
243,La calidad,lo mejor
244,Las posibilidades de mejorar en puesto y estabilidad,lo mejor
245,cumplimiento y beneficios,lo mejor
246,"Respeto,capacitaciones efectivas del producto,trabajo en equipo.",lo mejor
247,"Los pagos cumplidos,pagan todo lo de ley.",lo mejor
248,El talento humano que atesora dia a dia,lo mejor
249,excelentes comisiones,lo mejor
250,el grupo de trabajo,lo mejor
251,"ambiente laboral, salario emocional",lo mejor
252,interes por el bienestar de sus colaboradores,lo mejor
253,Las comisiones,lo mejor
254,agilidad en los desembolsos y politixas financieras.,lo mejor
255,La presentación de los empleados,lo mejor
256,La valoración del trabajador y las oportunidades brindadas,lo mejor
257,Agilidad y emprendimiento,lo mejor
258,Auxiliar,lo mejor
259,Mi rendimiento,lo mejor
260,RECONOCIMIENTO PRETIGIO,lo mejor
262,El talento humano es un área de mucho compromiso hacia los empleados.,lo mejor
263,El talento de todos y el respeto,lo mejor
264,Empresa muy comprometida con sus clientes,lo mejor
265,seguro para los empleados,lo mejor
266,oportunidades de crecimiento laboral,lo mejor
267,ambiente laboral y plan carrera,lo mejor
268,Ambiente de trabajo,lo mejor
269,Formación y capacitación.,lo mejor
270,Capacitación constante,lo mejor
271,Se empeñan en el buen desempeño de los empleados,lo mejor
272,Nos da la oportunidad de adquirir experiencia en diferentes áreas.,lo mejor
273,Velan por el. Futuro de sus empleados,lo mejor
274,Principal Banco que se dedica al financiamiento del sector agropecuario con tasas subsidiadas,lo mejor
275,Excelente empresa,lo mejor
276,Está en todos los municipios y departamentos de Colombia,lo mejor
277,El salario.,lo mejor
278,"1.El talento humano,",lo mejor
279,cumplimiento,lo mejor
280,Una de las mejores eps del pais con mas de 30 años en el sector salud.,lo mejor
281,El ambiente laboral es muy bueno,lo mejor
282,Responsabilidad social para quien hacemos lo que hacemos.,lo mejor
283,"Bienestar social, intelectual, innovación cultural, la diversidad de áreas para una misma meta.",lo mejor
284,Responsabilidad,lo mejor
285,Excelente empresa,lo mejor
286,Beneficios subsidiados,lo mejor
287,Es una empresa destacada por su enfoque en la innovación,lo mejor
288,es una buena empresa,lo mejor
289,Los ambientes laborales,lo mejor
290,Su prestación para el bienestar del personal.,lo mejor
291,Sueldo,lo mejor
292,PLAN CARRERA,lo mejor
293,El reconocimiento a la excelencia de sus colaboradores e hijos mediante ayudas educativas económicas,lo mejor
294,El pago,lo mejor
295,Excelente trabajo en equipo,lo mejor
296,casade limpieza,lo mejor
297,La calidad y fuerza de sus marcas.,lo mejor
298,Su interes por la calidad de vida de sus trabajadores,lo mejor
299,"Líderes muy humanos, excelentes beneficios extra legales",lo mejor
300,Mejor a los empleados,lo mejor
301,"La sensibilización, la comunicación y el lenguaje posibilista",lo mejor
302,Destacaría principalmente el compañerismo de cada área correspondiente,lo mejor
303,los ideales y el cumplimiento con las remuneraciones de sus empleados,lo mejor
304,Su talento humano,lo mejor
305,"El talento humano, y la calidad de personas",lo mejor
306,El ambiente laboral y la calidad humana.,lo mejor
307,El respeto y el ambiente laboral.,lo mejor
308,Buena empresa,lo mejor
309,Muchos beneficios,lo mejor
310,Puntuales con el pago,lo mejor
311,Es una empresa que da estabilidad laboral,lo mejor
312,Trabajo en equipo,lo mejor
313,Oportunidades y acompañamiento al colaborador.,lo mejor
314,El conocimiento y experiencia del personal.,lo mejor
315,El valor que le dan al recurso humano.,lo mejor
316,es bueno,lo mejor
317,Ambiente laboral,lo mejor
318,Beneficios economicos a los trabajadores,lo mejor
319,El valor que da a sus empleados,lo mejor
320,seguro medico privado,lo mejor
321,"El compañerismo, el buen trabajo en equipo, sentido de pertenencia, pasión por lo que se hace.",lo mejor
322,"Excelente gestión humana, puntualidad con los pagos, excelentes beneficios.",lo mejor
323,Son muy ordenados y piensan en ser vaguardistas,lo mejor
324,Excelente calidad al empleador,lo mejor
325,"buen salario y buen grupo de tranbajo, tambien mucha oportunidad de crecer laboralmente.",lo mejor
326,Que es hibrido y te permite compartir con tu familia mantras trabajas desde casa,lo mejor
327,Todo,lo mejor
328,Los beneficios y el ambiente laboral.,lo mejor
329,Retribución económica excelente,lo mejor
330,Primas extra legales y auxilios educativos,lo mejor
331,Salario,lo mejor
332,La puntualidad en su nómina,lo mejor
333,Estabilidad laboral,lo mejor
334,"La empresa piensa mucho en su personal y es muy hogareña, resalto que es una excelente empresa.",lo mejor
335,Asesoramiento comercial,lo mejor
336,Es una empresa que da mucha oportunidad laboral. Es muy puntal oportunidades de crecer tan personal,lo mejor
337,"El sistema,ya que frecuentemente presentan inconvenientes,y produce descuadres",lo mejor
338,empresa solida con oportunidades de superación laboral,lo mejor
339,Exelente servicio,lo mejor
340,El talento humano,lo mejor
341,Buen abiente,lo mejor
342,Su calidad,lo mejor
343,Seguro médico,lo mejor
344,"empacador , surtidor , etiquetador , estibador , atencion , vendedor",lo mejor
345,k te permiten aprender,lo mejor
346,Privado,lo mejor
347,beneficios a los empleados,lo mejor
348,El buen servicio,lo mejor
349,Variación de meta y otras,lo mejor
350,"buen ambiente de trabajo, oprtunidad de aprendizaje",lo mejor
351,El gran aprendizaje que permite desempeñarse en este lugar. La oportunidad de vocación.,lo mejor
352,Puntualidad en los pagos,lo mejor
353,Reconocimiento,lo mejor
354,"Horarios de salida de trabajo, para poder estudiar",lo mejor
355,el espacio,lo mejor
356,"Las personas, lo que hace esta lleno de propósito",lo mejor
357,El lado humano,lo mejor
358,Profesionalismo,lo mejor
359,"Talento Humano, proyeccion, aprendizaje y apoyo a los empleados",lo mejor
360,Las oportunidades y el talento humano,lo mejor
361,Su excelente equipo humano y profesional.,lo mejor
362,Las personas son muy humanas muy empaticas,lo mejor
363,Buen ambiente laboral,lo mejor
364,Tiene muy buenos resultados en ventas,lo mejor
365,Recurso humano y los valores,lo mejor
366,Beneficios para sus colaboradores,lo mejor
367,Muy buen trabajo,lo mejor
368,Ambiente de trabajo excelente,lo mejor
369,Trato a la gente calidad humana,lo mejor
370,Beneficios para los empleados,lo mejor
371,Escuchar más al empleado,lo mejor
372,Capacita a su personal para prestar la mejor atención y experiencia al cliente,lo mejor
373,Es una empresa con gran trayectoria y muy posicionada en el mercado.,lo mejor
374,tiene una excelente trayectoria y posicionamiento,lo mejor
375,su calidad humana,lo mejor
376,Calidad humana y beneficios,lo mejor
377,telento humano,lo mejor
378,La calidad de las personas,lo mejor
379,Talento humano,lo mejor
380,Pagos muy puntuales y beneficios contractuales,lo mejor
381,Trabajo en equipo,lo mejor
382,buen clima laboral,lo mejor
383,Una excelente empresa.,lo mejor
384,La puntualidad,lo mejor
385,Trabajo en equipo,lo mejor
386,Su responsabilidad,lo mejor
387,Excelente trato y remuneración hacia los colaboradores de la caja,lo mejor
388,La amabilidad de los colaboradores,lo mejor
389,Constante capacitacion,lo mejor
390,EL BUEN AMBIENTE LABORAL,lo mejor
391,Puntuales en sus pagos .. oportunidad de crecer laboralmente.,lo mejor
392,"muy buen ambiente laboral, y muy profesionales",lo mejor
393,El conocimiento y oportunidad que brindan a personas que apenas van adquirir experiencia laboral,lo mejor
394,Sus pagos puntuales,lo mejor
395,Son muy puntuales con los pagos y están atentos a los trabajadores,lo mejor
396,Salario,lo mejor
397,Beneficios de ley,lo mejor
398,Su gran empeño en el bienestar de los colaboradores. Conocimiento y oportunidad de crecer.,lo mejor
399,La cultura de mejoras continuas,lo mejor
400,Su humanidad,lo mejor
401,Es una empresa estable en ámbito laboral,lo mejor
402,Su cuidado sobre el medio ambiente,lo mejor
403,Ambiente laboral sano,lo mejor
404,la empresa en distancia de tiempo se encuentra a 1 hora de mi residencia.,lo mejor
405,SUS BENEFICIOS HACIA EL TRABAJADOR,lo mejor
406,Calidad humana,lo mejor
407,presta buen servicio a los clientes,lo mejor
408,Se preocupa por los empleados y es muy puntual en los pagos.,lo mejor
409,Puntualidad y enseñanza,lo mejor
410,Una empresa con un ámbito muy grande en generar empleo .,lo mejor
411,Los jefes son personas muy cordiales que saben dirigir un equipo de la mejor forma,lo mejor
412,Son puntuales en todo lo que tiene que ver con pagos cesantias,lo mejor
413,El buen ambiente laboral,lo mejor
414,Estabilidad laboral,lo mejor
415,Excelentes equipos de trabajo,lo mejor
416,El talento humano,lo mejor
417,La estabilidad laboral,lo mejor
418,Es una empresa donde se destaca por prestar un servicio oportuno y eficiente,lo mejor
419,Organización y la fuerza de trabajo. El crecimiento de la IPS en distintas ciudades de Colombia,lo mejor
420,"Cumplimiento, buen ambiente laboral",lo mejor
421,Trabajo sin dicrimacion de edad,lo mejor
422,La puntualidad en el pago de los sueldos,lo mejor
423,"Buen Ambiente laboral, Puntualidad en los pagos y muy atenta con él los sistemas de seguridad.",lo mejor
424,Oficios varios,lo mejor
425,Que es una buena empresa,lo mejor
426,Compromiso y lealtad,lo mejor
428,Su trabajo,lo mejor
429,Excelente compañía para crecimiento profesional,lo mejor
430,Talento,lo mejor
431,El buen comportamiento con sus trabajadores,lo mejor
432,"ambiente laboral, trabajo en equipo, el personal de recursos humanos se preocupa por los empleados",lo mejor
433,Estabilidad laboral,lo mejor
434,"crecimiento, humana y buena remuneración",lo mejor
435,Talento humano,lo mejor
436,El talento humano,lo mejor
437,Le dan mucha capacitación,lo mejor
438,Tecnologia de punta en todos los procesos y mejora continua. Brinda oportunidad a sus colaboradores.,lo mejor
439,"El ambiente laboral, el sueldo, jefe o supervisor, el area de talentos humano",lo mejor
440,"Aprendizaje, flexibilidad, éxito e inclusión.",lo mejor
441,Calidad Humana,lo mejor
442,Capital humano,lo mejor
443,flexibilidad horarios,lo mejor
444,Su talento humano y el conocimiento técnico de todo el equipo.,lo mejor
445,talento humano,lo mejor
446,"Prestaciones, beneficios, metas, objetivos",lo mejor
447,Comodidad y buen ambiente.,lo mejor
448,El salario,lo mejor
449,"Su nivel de responsabilidad, eficiencia, compromiso y amabilidad para con los clientes.",lo mejor
450,Buen ambiente Laboral,lo mejor
451,El talento humano,lo mejor
452,el talento humano de toda la compañía es muy bueno,lo mejor
453,Es buena,lo mejor
454,El talento humano. Acompañamiento profesional.,lo mejor
455,Muy cumplida en condiciones salariales,lo mejor
456,Su compromiso con sus colaboradores.,lo mejor
457,"Compañerismo, garantías prestacionales y salariales",lo mejor
458,El talento humano,lo mejor
459,El Aprendizaje,lo mejor
460,"1.El talento humano,",lo mejor
461,cumplimiento,lo mejor
462,Una de las mejores eps del pais con mas de 30 años en el sector salud.,lo mejor
463,El ambiente laboral es muy bueno,lo mejor
464,Responsabilidad social para quien hacemos lo que hacemos.,lo mejor
465,"Bienestar social, intelectual, innovación cultural, la diversidad de áreas para una misma meta.",lo mejor
466,El talento humano es muy excelente,lo mejor
467,Que tiene experiencia en atención al paciente,lo mejor
468,Todo,lo mejor
469,Su cumplimiento,lo mejor
470,"SU GENTE, ES MUY AMABLE, CORDIAL,",lo mejor
471,Cumplidos,lo mejor
472,oportuna respuesta y solucion a cualquier eventualidad,lo mejor
473,Su ambiente laboral y flexibilidad en horarios y ubicacion de trabajo,lo mejor
474,Calidad humana,lo mejor
475,Talento humano,lo mejor
476,El ambiente laboral,lo mejor
477,Ambiente laboral,lo mejor
478,Todos los beneficios que dan y la oportunidad de crecer,lo mejor
479,Ambiente Laboral,lo mejor
480,Excelente trato humano y buen ambiente laboral,lo mejor
481,Las oportunidades que le dan a los trabajadores,lo mejor
482,Muy buena,lo mejor
483,Como empleado tiene la oportunidad de estudiar,lo mejor
484,el trabajo en equipo,lo mejor
485,Prima extra legal a final de año. Beneficios para las familias de los colaboradores.,lo mejor
486,axulios de alimentacion,lo mejor
487,"pago puntual, casino, ruta , bonificacion de fin de año excelente",lo mejor
488,su compromiso,lo mejor
489,Excelentes beneficios para empleados y sus familiares,lo mejor
490,excelente ambiente laboral,lo mejor
491,Servicio Amable,lo mejor
492,Su calidad humanda,lo mejor
493,El excelente ambiente laboral,lo mejor
494,La calidad humana y puntualidad de pago de nómina,lo mejor
495,Comprometidos,lo mejor
496,Su compromiso con el bienestar de sus empleados.,lo mejor
497,Es una empresa con una gran experiencia a nivel nacional y una marca a nivel mundial ya que es un ag,lo mejor
498,Es muy familiar,lo mejor
499,Horarios más flexibles,lo mejor
500,El manejo de los clientes,lo mejor
501,La asignación salarial y el cumplimiento,lo mejor
502,Que tenga en cuenta las hojas de vida de los que trabajamos ahí.,lo mejor
503,"Excelente calidad humana y muy buen salario, estabilidad laboral.",lo mejor
504,Excelente empresa con un ambiente laboral y salario,lo mejor
505,El recurso humano,lo mejor
506,pago puntual beneficios para los empleados oportunidad de crecimiento,lo mejor
507,Empatia con sus trabajadores,lo mejor
508,El clima laboral,lo mejor
509,La calidez de las personas y el trato hacia los trabajadores,lo mejor
510,El buen pago,lo mejor
511,"Buen ambiente, historía que genera sentido de pertenencia por la empresa.",lo mejor
512,Ambiente laboral,lo mejor
513,La calidad de sus productos,lo mejor
514,Es una industria biotecnolgóica,lo mejor
515,Calidez humana,lo mejor
516,"Valora las idea de mejora y las pone en practica, buen ambiente laboral",lo mejor
517,la estabilidad laboral y el ambiente laboral,lo mejor
518,Aseo,lo mejor
519,Su desempeño,lo mejor
520,"el compromiso, la ejecución de la diferentes obras y el grupo de personal tanto administrativo y op",lo mejor
521,"Muy buena empresa en el sentido que es exigente, pero muy responsable y respetuosa con los trabajado",lo mejor
522,Buen rendimiento empresarial y productividad.,lo mejor
523,Me gustaria trabajar con ella,lo mejor
524,Trato a sus empleados,lo mejor
525,Son amigables con el ambiente y dan muchas oportunidades y beneficios,lo mejor
526,Calidad humana,lo mejor
527,El esforzarse por sentir bien al trabajador,lo mejor
528,El ambiente laboral,lo mejor
529,Su personal de recursos humanos,lo mejor
530,Solidaria e innovadora,lo mejor
531,"El ambiente laboral, las oportunidades para crecer",lo mejor
532,Las actividades que realizan en las fechas especiales,lo mejor
533,Los salarios para el cargo son muy bajos,lo mejor
534,Talento humano,lo mejor
535,"Calidad, excelencia en los productos de ofrece",lo mejor
536,Q dan muchas oportunidades de progreso,lo mejor
537,Talento humano,lo mejor
538,pagos oportunos oportunidad de trabajo sin experiencias,lo mejor
539,Estabilidad laboral,lo mejor
540,El trato digno al colaborador,lo mejor
541,Estabilidad laboral,lo mejor
542,El talento humano del asesor,lo mejor
543,El impacto positivo que deja para mejorar el medio ambiente,lo mejor
544,Es una empresa solida con una visión de crecimiento constante,lo mejor
545,Los jefes,lo mejor
546,Buen cumplimiento laboral,lo mejor
547,La calidad de personas que trabajan en la empresa,lo mejor
548,Su desempeño en salir adelante,lo mejor
549,Su interes por la calidad de vida de sus trabajadores,lo mejor
550,"Líderes muy humanos, excelentes beneficios extra legales",lo mejor
551,Mejor a los empleados,lo mejor
552,"La sensibilización, la comunicación y el lenguaje posibilista",lo mejor
553,Destacaría principalmente el compañerismo de cada área correspondiente,lo mejor
554,los ideales y el cumplimiento con las remuneraciones de sus empleados,lo mejor
555,Su talento humano,lo mejor
556,"El talento humano, y la calidad de personas",lo mejor
557,El ambiente laboral y la calidad humana.,lo mejor
558,Valora los trabajadores,lo mejor
559,"Integridad, calidez y experticia",lo mejor
560,su personal se preocupa por los colaboradores ...,lo mejor
561,Excelente prosedencia y estabilidad,lo mejor
562,El compañerismo y el buen trato,lo mejor
563,Si excelente ambiente laboral,lo mejor
564,El buen ambiente laboral,lo mejor
565,El equipo de trabajo,lo mejor
566,La oportunidad de trabajar y aprender.,lo mejor
567,Estabilidad laboral,lo mejor
568,Salario emocional,lo mejor
569,"salario, bienestar laboral",lo mejor
570,los apoyos de ofrecen,lo mejor
571,la calidad humana de los directivos,lo mejor
572,prestaciones extralegales,lo mejor
635,Nada,a mejorar
636,los rangos de los salarios,a mejorar
637,"mayor participación de todas las áreas en ideas de mejoras, implementación de TPM",a mejorar
638,Horarios,a mejorar
639,Horarios más rotativos,a mejorar
641,Los horarios,a mejorar
642,la comunicación,a mejorar
643,Estabilidad laboral,a mejorar
644,Enfocarse más en la parte humana de la empresa.,a mejorar
645,NADA,a mejorar
646,Apoyan el crecimiento laboral y personal.,a mejorar
647,Que oferten más variedad de servicios,a mejorar
648,los salarios,a mejorar
649,Ninguno,a mejorar
650,No trabajar domingo ya que es para la familia,a mejorar
651,no hay cafeteria,a mejorar
652,todo paea mi esta perfecto y como ko tengo hijos los horarios que sean estan perfectos,a mejorar
653,El engranaje de las áreas.,a mejorar
654,Todo esta genial,a mejorar
655,Podría ser más flexible con los horarios,a mejorar
656,Flexibilizar horarios,a mejorar
657,Planes estratégicos,a mejorar
658,mejora en desarollo laboral,a mejorar
659,Las metas de cumplimiento y el valor de los productos,a mejorar
660,Las comisiones,a mejorar
661,que el salario sea igual para un mismo cargo,a mejorar
662,la parte salarial,a mejorar
663,Gratitudes a empleados para motivación de hacer sentir al empleado como parte de la familia.,a mejorar
664,Na.,a mejorar
665,"hacer un mayor seguimiento, brindar beneficios econocmicos y de ambiente laboral a los empleados",a mejorar
666,"Hablaría más con los colaboradores de obra, los cuestionaria en cuanto al ambiente laboral",a mejorar
667,Los horarios,a mejorar
668,dar mas oportunidades de crecimiento laboral,a mejorar
669,Que ledierar oportunidad alos desempleados,a mejorar
670,tipo de contrato,a mejorar
671,Presion,a mejorar
672,Plan carrera,a mejorar
673,Los horarios de trabajo,a mejorar
674,Sus aliados,a mejorar
675,NADA,a mejorar
676,un tiempo mas extenso para las capacitaciones.,a mejorar
677,Nada,a mejorar
678,Mas contacto con los trabajadores.,a mejorar
679,Salario,a mejorar
680,Cobertura Nacional,a mejorar
681,NA,a mejorar
682,"Evaluación del trabajo de los colaboradores, así como hay personas que trabaja hay otras que no",a mejorar
683,el clima organizacional,a mejorar
684,Mayor oportunidad de crecimiento en la organizacion.,a mejorar
685,Avances tecnológicos,a mejorar
686,Flexibilidad en los horarios,a mejorar
687,Que fueran más flexibles con horarios y más humanos con los empleados ..,a mejorar
688,El salario,a mejorar
689,Flexibilidad laboral,a mejorar
690,salario,a mejorar
691,Las oportunidades para los practicantes.,a mejorar
692,Horario laboral,a mejorar
693,Nada.,a mejorar
694,La localidad que esté en Jamundí,a mejorar
695,procesos complicados,a mejorar
696,El tipo de contratación,a mejorar
697,Nada relevante,a mejorar
698,Mejores salarios o mas horas de trabajo,a mejorar
699,Podrían apertura más vacantes,a mejorar
700,Ser escuchado,a mejorar
701,la tecnologia,a mejorar
702,Esta bien,a mejorar
703,pues hasta el momento nada,a mejorar
704,Laborar en la empresa,a mejorar
705,Ampliación de su.eps,a mejorar
706,nada,a mejorar
707,Está muy bien así como está,a mejorar
708,Mejores beneficios económicos (salario).,a mejorar
709,El sueldo,a mejorar
710,Flexibilidad en ubicación de empleados en tiendas.,a mejorar
711,Algunos dirigentes que toman malas decisiones y no valoran el trabajo de los empleados.,a mejorar
712,Estabilidad,a mejorar
713,Las oportunidades para estudiar,a mejorar
714,El ambiente de trabajo con los compañeros,a mejorar
715,que aprendan a escuchar al empleado,a mejorar
716,Nada,a mejorar
717,Todo,a mejorar
718,El empleo,a mejorar
719,Los salarios,a mejorar
720,incentivar al trabajador en días conmemorativos,a mejorar
721,Horarios un poco mas flexibles al momento de presentarse una eventualidad.,a mejorar
722,Ser más flexibles con el horario.,a mejorar
723,Mejoraria un poco el horario con los empleados,a mejorar
724,contratos laborales,a mejorar
725,Las políticas,a mejorar
726,atencion de los asesores,a mejorar
727,Nada de que hablar,a mejorar
728,El tipo de contrato,a mejorar
729,Mi rendimiento mejor trabajo,a mejorar
730,Aun no se como marcha todo en ella pero me gustaria aprender,a mejorar
731,HORARIOS,a mejorar
732,Si,a mejorar
733,Yo creo que nada es una empresa muy completa.,a mejorar
734,Que los horarios sean normales,a mejorar
735,La rotación,a mejorar
736,Mayores prestaciones,a mejorar
737,NA,a mejorar
738,Compañerismo,a mejorar
739,Mejoraría que nos falta más procesos digitales para atender más rápido a los clientes,a mejorar
740,el tipo de vinculación contractual dado que tiene clausula presuntiva a los 6 meses.,a mejorar
741,valoración para el sector humano.,a mejorar
742,oportunidad de crecimiento,a mejorar
743,Ampliar los procesos administrativos en las regionales.,a mejorar
744,"Asignación básica en algunos cargos, la oportunidad de asceso y superación en ótras áreas.",a mejorar
745,Implementar mejoras en instalaciones y equipos,a mejorar
746,Los turnos que fueron más flexibles,a mejorar
747,Escuchar más al personal,a mejorar
748,Es seguir ofreciendo valor a sus clientes y accionistas.,a mejorar
749,la personalidad de la persona,a mejorar
750,Podría brindar mas oportunidades de permanecer mas tiempo en la empresa,a mejorar
751,Instalaciones.,a mejorar
752,Ambiente laboral,a mejorar
753,N/A,a mejorar
754,Tener presente a los empleados que se encuentran por temporal.,a mejorar
755,"La comunicación, acercamiento, calidad humana.",a mejorar
756,dia descansa el domingo,a mejorar
757,El trato especificamente en el area comercial.,a mejorar
758,Automatizar procesos operativos,a mejorar
759,Oportunidad de crecimiento dentro de la organización para sus empleados,a mejorar
760,Los lugares,a mejorar
761,sería manejo a nivel general los índices de desempeño para brindar más acompañamiento a los nuevos,a mejorar
762,que en las convocatorias no haya tanto favoritismo que siempre destaque la meritocracia,a mejorar
763,Los salarios para el personal nuevo,a mejorar
764,Si,a mejorar
765,Deberían mirar cumplimientos y antigüedad para ascensos no solo conveniencia.,a mejorar
766,Horario,a mejorar
767,Creo que la empresa debería mejor el pago,a mejorar
768,Capacidad de evaluar mejor a sus colaboradores.,a mejorar
769,Más atención a la parte humana.,a mejorar
770,deberia ser mas flexible en los horarios,a mejorar
771,Oportunidad de crecer,a mejorar
772,No encuentro nada para mejorar,a mejorar
773,"no hay horario libre para la cafetería, solo funciona al medio día",a mejorar
774,"Es excelente empresa tecnológica, nada que agregar",a mejorar
775,Esta super bien,a mejorar
776,Acompañamiento y mas oportunidad y entendimiento para las personas nuevas,a mejorar
777,Me gusta todo en general.,a mejorar
778,Calidad humana de los directivos,a mejorar
779,los salarios,a mejorar
780,"El personal encargado de las oficinas, se nota falta de compromiso y profesionalismo",a mejorar
781,"No tendría mucho que mejorar, lo unico sería sus salarios para auxiliales, de resto tiene todo",a mejorar
782,No le cambiaría nada,a mejorar
783,Nada,a mejorar
