id,comentario,etiqueta
784,Ser más flexible con el trabajador,a mejorar
785,La atención al cliente,a mejorar
786,Publicidad,a mejorar
787,No hay descanso para tomar cafe,a mejorar
788,todo de lo que mas pueda,a mejorar
789,nada es bna,a mejorar
790,Todo a su tiempo,a mejorar
791,algunos lideres,a mejorar
792,Flexibilidad con el horario,a mejorar
793,El tiempo como recurso ha estado mejorando pero puede seguir brindando espacios de integración.,a mejorar
794,El plan carrera y el sistema de gestión de la cartera de los clientes castiga mucho las comisiones,a mejorar
795,el entrenamiento,a mejorar
796,Es muy buena pero Hay un tope de horas,a mejorar
797,Apertura al teletrabajo,a mejorar
798,Incentivar de una mejor manera,a mejorar
799,Que las personas podamos avanzar ya que tenemos estudios,a mejorar
800,Flexibilidad de horario,a mejorar
801,"Realmente es una empresa muy integra, que lo único que mejoraría es su expansión en el mercado Colom",a mejorar
802,El salario.,a mejorar
803,La comunicación con mercadeo,a mejorar
804,Igualdad entre empleados del mismo rango,a mejorar
805,horarios flexibles,a mejorar
806,Acompañar el crecimiento personal y profesional del empleado,a mejorar
807,oportunidad de crecimiento,a mejorar
808,Nada en el momento,a mejorar
809,Los Salarios,a mejorar
810,Por el momento siento que todo esta muy bien,a mejorar
811,Por el momento nada ya que es una empresa líder,a mejorar
812,implementar un plan carrera,a mejorar
813,oportunidades laborales para los profesionales,a mejorar
814,Un poco más de flexibilidad de los horarios para poder estudiar,a mejorar
815,Podria ser mas flexible con los horarios,a mejorar
816,LOS SALARIOS A MANDOS MEDIOS,a mejorar
817,El salario,a mejorar
818,"los descansos, los horarios son muy extensos",a mejorar
819,Más compromiso de los trabajadores para trabajar en equipo,a mejorar
820,"Horarios, calidad humana",a mejorar
821,Relaciones interpersonales,a mejorar
822,"Nada, que sigan promocionando la mejora continua",a mejorar
823,Su organización en el ámbito logístico le falta ya q en muchas ocasiones se requiere hacer reproceso,a mejorar
824,Nada,a mejorar
825,"por el momento, el tener en cuenta mis conocimientos la momento de tomar decisiones.",a mejorar
826,LA RUTINA,a mejorar
827,La localidad que esté en Jamundí,a mejorar
828,procesos complicados,a mejorar
829,El tipo de contratación,a mejorar
830,Nada relevante,a mejorar
831,Mejores salarios o mas horas de trabajo,a mejorar
832,Podrían apertura más vacantes,a mejorar
833,Ser escuchado,a mejorar
834,El tipo de contrato y que hubieras más oportunidades de ascensos.,a mejorar
835,n/a,a mejorar
836,El tema del parqueadero para los trabajadores,a mejorar
837,el contracto laboral,a mejorar
838,La auditoría y contratación con las IPS,a mejorar
839,Nada todo excelente,a mejorar
840,Son pues empresa,a mejorar
841,Dar más calidad de vida y laboral y dar oportunidad de más experiencias para progresar.,a mejorar
842,Si,a mejorar
843,El espacio del lugar de trabajo,a mejorar
844,No le mejoraría nada.,a mejorar
845,En hora laboral responsable,a mejorar
846,Ser más flexible con los horarios,a mejorar
847,Nada,a mejorar
848,la empresa viene por buen camino,a mejorar
849,Ambiente laboral,a mejorar
850,No tengo queja,a mejorar
851,Que nos dejen estudiar,a mejorar
852,NA,a mejorar
853,nada todo es lo maximo,a mejorar
854,ninguno,a mejorar
855,beneficios extralegales y salario,a mejorar
856,flexibilidad,a mejorar
857,Ampliacion de la infraestructura,a mejorar
858,El ambiente laboral,a mejorar
859,Todo me parece adecuado.,a mejorar
860,Contrato,a mejorar
861,Horarios,a mejorar
862,El trato hacia los trabajadores,a mejorar
863,"Nada en lo absoluto, es una empresa con un amplio reconocimiento en el sector de la construcción.",a mejorar
864,Comida,a mejorar
865,n/a,a mejorar
866,Los procesos Administrativos,a mejorar
867,oportunidad de crecimiento,a mejorar
868,Ampliar los procesos administrativos en las regionales.,a mejorar
869,"Asignación básica en algunos cargos, la oportunidad de asceso y superación en ótras áreas.",a mejorar
870,Flexibilidad de horario,a mejorar
871,No tiene nada que mejorar,a mejorar
872,No está en su estadística excelente,a mejorar
873,La parte de distribución,a mejorar
874,"LOS SITIOS DE ALIMENTACIÓN ES COMPARTIDAS,Y LA EMPRESA EN SI ES MUY CALUROSA, MAS BENEFICIOS.",a mejorar
875,no hay un fondo de empleados,a mejorar
876,Los salarios,a mejorar
877,Mayor rotación,a mejorar
878,Internamente tener mayor aprovacion con los clientes,a mejorar
879,Nada,a mejorar
880,Salario y cargo,a mejorar
881,No cambiar tanto las políticas internas,a mejorar
882,Equipos de computo,a mejorar
883,Todo esta perfecto,a mejorar
884,Esta el momento nada,a mejorar
885,la falta de equipos mas técnicos,a mejorar
886,Salarios muy bajos,a mejorar
887,salario,a mejorar
888,El maltrato de algunos directores (as) de area y acoso laboral,a mejorar
889,nada,a mejorar
890,salario,a mejorar
891,Salarios,a mejorar
892,Horarios más flexibles,a mejorar
893,Horarios,a mejorar
894,"Horarios de atención, para que sus empleados tengan más tiempo para sus familias.",a mejorar
895,La posibilidad de hacer carrera esta opción no la hay y pues a veces uno quiere estudiar y es algo q,a mejorar
896,Las horas de recesos,a mejorar
897,Contrataría más personal administrativo,a mejorar
898,Más oportunidades de espacio para poder estudiar.,a mejorar
899,Ser más flexible con los horarios,a mejorar
900,La calidad de los gerentes,a mejorar
901,Amabilidad y humanidad,a mejorar
902,horarios muy extensos son muy exigentes en cuestión de dar una comisión,a mejorar
903,Más posibilidades de crecimiento en cuanto a lo administrativo.,a mejorar
904,Flexibilidad y actualización con nuevas tendencias tecnologicas del mundo.,a mejorar
905,Que le dieran oportunidad q los colabores de continuar después de el año,a mejorar
906,"Medir más las tareas en tiempos, mejorar tema salarial, tener un plan especifico de capacitación por",a mejorar
907,Horarios de trabajo,a mejorar
908,El desarrollo de sus trabajadores,a mejorar
909,Enfocaría los recursos a la estandarización de los procesos.,a mejorar
910,La planeación,a mejorar
911,Aseo y limpieza,a mejorar
912,Excelente,a mejorar
913,mejoraría la oportunidad de carrera. procesos internos y la evaluación de funciones y desempeños de,a mejorar
914,"Si, podría ser más flexible en los horarios",a mejorar
915,Exelente empresa,a mejorar
916,Tipo de contratación,a mejorar
917,Tener en cuenta la contratación de más personal,a mejorar
918,Los salarios,a mejorar
919,La logistica,a mejorar
920,Nada,a mejorar
921,Hay que evaluar la situación del mercado para entender temas de presupuestos,a mejorar
922,Podría ser mas flexibles con los horarios,a mejorar
923,Aumentar salarios de acuerdo a la profesión,a mejorar
924,El orden,a mejorar
925,Salario,a mejorar
926,Ajustes de salarios a cargos administrativos/coordinadores.,a mejorar
927,Acompañamiento por parte del personal más capacitado,a mejorar
928,Las solicitudes de los empleados,a mejorar
929,Si más flexible en los horario,a mejorar
930,Capacitar más al personal para evitar accidentes laborales y mejorar salario en siertas áreas,a mejorar
931,Permitir a los empleados tener la oportunidad de crecer laboral y profesionalmente dentro de ella,a mejorar
932,El ambiente,a mejorar
933,Mas vida social,a mejorar
934,Los procesos del área de talento humano,a mejorar
935,Nada,a mejorar
936,Automatizar procesos operativos,a mejorar
937,Oportunidad de crecimiento dentro de la organización para sus empleados,a mejorar
938,Los lugares,a mejorar
939,sería manejo a nivel general los índices de desempeño para brindar más acompañamiento a los nuevos,a mejorar
940,que en las convocatorias no haya tanto favoritismo que siempre destaque la meritocracia,a mejorar
941,Los salarios para el personal nuevo,a mejorar
942,Podrías mejorar los horarios,a mejorar
943,una oportunidad mas estable al colaborador,a mejorar
944,No,a mejorar
945,Podría ser más flexibles con los horarios,a mejorar
946,Más colaboración para el empleado,a mejorar
947,Dar una clase de incentivo al personal para que se animen a trabajar aquí,a mejorar
948,La evolución de los procesos,a mejorar
949,Ninguna,a mejorar
950,promoción de empleados,a mejorar
951,todo esta bien,a mejorar
952,la comunicacion,a mejorar
953,nada,a mejorar
954,Excelente,positivo
955,"Una empresa que ofrece muchas oportunidades de crecimiento y formación de su comunidad laboral, además de grandes beneficios laborales.",positivo
956,"Es una muy buena empresa con calidad de gente, apoyan mucho al empleado y brindan gran aprendizaje en diferentes campos",positivo
957,Excelente,positivo
958,Es una buena empresa,positivo
959,Responsable,positivo
960,Empresa comprometida con la calidad en productos y servicios de postventa. Un lugar estable para trabajar ya que el compromiso social irradia al cliente interno y externo.,positivo
961,Excelente,positivo
962,"Excelente empresa, gran estabilidad.",positivo
963,Excelente,positivo
964,"Una empresa que ofrece muchas oportunidades de crecimiento y formación de su comunidad laboral, además de grandes beneficios laborales.",positivo
965,"Es una muy buena empresa con calidad de gente, apoyan mucho al empleado y brindan gran aprendizaje en diferentes campos",positivo
966,Excelente,positivo
967,Es una buena empresa,positivo
968,Responsable,positivo
969,Empresa comprometida con la calidad en productos y servicios de postventa. Un lugar estable para trabajar ya que el compromiso social irradia al cliente interno y externo.,positivo
970,Excelente,positivo
971,"Excelente empresa, gran estabilidad.",positivo
972,Excelente,positivo
973,"Una empresa que ofrece muchas oportunidades de crecimiento y formación de su comunidad laboral, además de grandes beneficios laborales.",positivo
974,"Es una muy buena empresa con calidad de gente, apoyan mucho al empleado y brindan gran aprendizaje en diferentes campos",positivo
975,Excelente,positivo
976,Es una buena empresa,positivo
977,Responsable,positivo
978,Empresa comprometida con la calidad en productos y servicios de postventa. Un lugar estable para trabajar ya que el compromiso social irradia al cliente interno y externo.,positivo
979,Excelente,positivo
980,"Excelente empresa, gran estabilidad.",positivo
981,Excelente,positivo
982,"Una empresa que ofrece muchas oportunidades de crecimiento y formación de su comunidad laboral, además de grandes beneficios laborales.",positivo
983,Excelente,positivo
984,Es una buena empresa,positivo
985,Es una empresa dedicada al público y a su producto,positivo
986,excelente empresa para trabajar,positivo
987,Buenos Beneficios Y Oportunidad De Crecer,positivo
988,"Estabilidad laboral, oportunidades de ascenso",positivo
989,"El ambiente es bueno, me gusta que es una buena empresa",positivo
990,"Es una excelente empresa, existe una gran flexibilidad y un buen ambiente laboral",positivo
991,Muy buena empresa en el trato,positivo
992,"Excelente clima laboral, horarios flexibles, buen salario, mucha formación, buenos beneficios",positivo
993,"Trabajando con ellos me han granizado estabilidad laboral y económica, la considero una de las mejores empresas en las cuales e tenido el honor de trabajar.",positivo
994,Una empresa que da muchas oportunidades a las personas y jóvenes en especial.,positivo
995,Una empresa muy buena con mujeres llenas de amor,positivo
996,Buena,positivo
997,buena empresa responsable buen trato cumple con las normas,positivo
998,ofrecen gran variedad de empleo y buena calidad son grandes personas cumplidos con a la hora de pagar buen arl,positivo
999,es una compañía muy seria en procesos y lineamientos,positivo
1000,Excelente empresa,positivo
1001,"Muebles Jamar es una excelente empresa, con un cliente laboral muy bueno, con excelentes lideres que te ayudan a crecer en la parte profesional y personal muy recomendada",positivo
1002,"Excelente empresa, oportunidades de crecimiento y beneficios para sus empleados.",positivo
1003,Se logra apreciar un buen ambiente y buenos tratos para sus empleados,positivo
1004,excelente empresa,positivo
1005,Muy buen lugar para trabajar,positivo
1006,Una empresa muy buena,positivo
1007,excelente,positivo
1008,Empresa de Tecnología con buena capacidad de aprendizaje,positivo
1009,"Es una muy buena empresa, sólo que han habido muchos cambios y el ambiente laboral se puso muy tenso.",positivo
1010,Muy buena son una familia increíble,positivo
1011,es una gran empresa en todos los aspectos,positivo
1012,Es una buen empresa,positivo
1013,excelente compañia,positivo
1014,Excelente compañia y compañeros,positivo
1015,"Es una empresa con excelentes beneficios para el empleado, con una cultura organizacional muy interesante, más que un trabajo es una cultura de valores",positivo
1016,Es una excelente empresa,positivo
1017,"Excelente empresa, me ayudado con una formación mayor en el área comercial obteniendo niveles dentro de la misma para mayor sueldo",positivo
1018,EXCELENTE,positivo
1019,Excelente ambiente y grupo de trabajo,positivo
1020,Una gran empresa en la cual pude aprender cosas nuevas muy inovadora.,positivo
1021,"Es una empresa excepcional, tienes buenas personas como trabajadores, excelente ambiente laboral y entre otras cualidades que destacan como la preocupación por tu salud, etc.",positivo
1022,"es una empresa con un cultura organizacional definida, direccionamiento estrategico retador con valores humanos",positivo
1023,En general es una excelente empresa aporta muchos beneficios para sus trabajadores.,positivo
1024,Excelente empresa,positivo
1025,Empresa que piensa mucho en el bienestar de los empleados,positivo
1026,"es una empresa muy ordenada con normas muy correctas, jefes excelentes y muy sociables",positivo
1027,Empresas reconocidas en el sector de empaques plástico con muchos años de trayectoria a nivel nacional y mundial que se proyecta cada vez más en el mercado de los empaques para alimentos,positivo
1028,La mejor escuela de flexografia y para aprender artes graficas.,positivo
1029,Muy buena empresa excelente para oportunidades,positivo
1030,pagos puntuales.,positivo
1031,Excelente empresa se preocupa por sus trabajadores,positivo
1032,Es una empresa muy seria que brida calidad humana a sus pacientes,positivo
1033,Una empresa llena dé oportunidades y enseñanzas,positivo
1034,excelente empresa,positivo
1035,Buen ambiente laboral y buen manejo de las herramientas,positivo
1036,pues la verdad no tengo nada que poner apenas estoy empezando,positivo
1037,"Excelente, muy buena organización",positivo
1038,Buena empresa en concepto de beneficios.,positivo
1039,Buen ambiente laboral,positivo
1040,Excelente empresa,positivo
1041,Excelente compañía.,positivo
1042,la empresa es muy organizada capacitación constante con el empleado reta mucho al empleado,positivo
1043,"Buena empresa para adquirir conocimiento en moda , el pago es muy bueno",positivo
1044,Muy buena empresa con alto enfais en la mejora del equipo,positivo
1045,"Buena empresa, brinda oportunidades de crecimiento y es muy buena escuela en cuanto a procesos.",positivo
1046,En general es una buena empresa,positivo
1047,buena oportunidades para tener estabilidad laboral y economia,positivo
1048,Es una muy buena entidad que facilita el trabajo en campo y digital,positivo
1049,excelente,positivo
1050,excelente compañía,positivo
1051,GREAT PLACE TO WORK,positivo
1052,Exelente empresa me sentiría orgulloso de trabajar en ella,positivo
1053,Excelente en oportunidades para crecimiento personal y profesional,positivo
1054,Excelente oportunidad,positivo
1055,Buena empresa me gusta trabaje hay quiero volver a trabajar con Ustedes,positivo
1056,Exelente empresa lo mejor quiero trabajar para salir adelante,positivo
1057,Excelente ambiente laboral. Excelentes beneficios. Capacidad de crecimiento profesional,positivo
1058,Calidad humana,positivo
1059,"Excelente empresa con grandes oportunidades para sus trabajadores,se maneja un buen ambiente de trabajo y muy puntual es sus pagos.",positivo
1060,Una empresa excelente para trabajar y adquirir conocimiento,positivo
1061,Excelente empresa,positivo
1062,Es una excelente empresa que ofrece muchas oportunidades de crecer en conocimiento todos los días.,positivo
1063,"La empresa donde trabajo es un lugar maravilloso donde conocemos las personas mas vulnerables de nuestro municipio con el fin de explicar, ayudar e incluso asesorar en los. Procesos que los ayuden a fortalecer su economía y la de sus familiares.",positivo
1064,Es una escuela impresionante para formar comerciales del sector financiero.,positivo
1065,Muy buen pago,positivo
1066,buena empresa se preocupa por los colaboradores,positivo
1067,"Empresa solida, con sostenimiento e interés por el capital humano donde sus usuarios son la razón de ser",positivo
1068,excelente,positivo
1069,La mejor EPS del pais,positivo
1070,"Excelente empresa, se aprende mucho",positivo
1071,buenos beneficios,positivo
1072,Excelente,positivo
1073,Muy buena,positivo
1074,Buenas oportunidades,positivo
1075,"Una buen empresa, en temas de beneficios y oportunidades para adquirir experiencia",positivo
1076,"Es muy buena empresa que considera mucho a las empleados, con muy buenos ambientes laborales.",positivo
1077,Es una excelente empresa donde buscan promover a sus trabajadores para continuar creciendo en sus estudios y experiencia.,positivo
1078,Excelente empresa.,positivo
1079,EXCELENTE COMPAÑIA,positivo
1080,Comfama es una empresa que propicia bienestar mental a sus trabajadores.,positivo
1081,"Considero que es una excelente empresa, solo que falta más apoyo para el crecimiento laboral y profesional de los empleados",positivo
1082,excelente empresa,positivo
1083,Es una buena empresa y es recomendable para trabajar otras personas,positivo
1084,Excelente posibilidad de comprender mas la dinámica del sector desde lo social,positivo
1085,Excelente empresa.,positivo
1086,"Una excelente compañía, gran conexión con sus empleados.",positivo
1087,Buena empresa,positivo
1088,Exelente,positivo
1089,Excelente empresa.,positivo
1090,Excelente ambiente laboral,positivo
1091,es una buena empresa,positivo
1092,"Excelente empresa, con muy buenos beneficios laborales y maravillosos equipos de trabajo",positivo
1093,Es una excelente empresa donde complementas y aprendes mas de los conocimientos adquiridos en la Universidad,positivo
1094,"Integridad, Empatía, Cuidado al empleado, responsabilidad, excelente empresa, cumplidos con la nómina, auto desarrolladores. Notable empresa de tecnología.",positivo
1095,"Buena empresa, en ella podras adquirir muchos conocimientos",positivo
1096,"Una empresa con un gran trabajo en equipo, seguridad y oportunidad de asenso.",positivo
1097,Excelente Empresa,positivo
1098,Excelente empresa,positivo
1099,Buen ambiente laboral,positivo
1100,Es una excelente empresa,positivo
1101,"Es una empresa excelente, con muy buenos beneficios para sus empleados",positivo
1102,Excelente empresa en beneficios y equipo de trabajo,positivo
1103,Excelente empresa con la calificación The Best Place to Work.,positivo
1104,"La empresa es buena, sería bueno inspeccionar y estar más pendiente de los manejos que hacen nuestro jefes encargados",positivo
1105,Excelente,positivo
1106,Excelente,positivo
1107,Muy buena empresa con buenas oportunidades de crecimiento laboral,positivo
1108,Lo q mas me gusta es q aprendes a desemvolverte en todas las funciones de la empresa me gusta trabajar en super mercados Euros,positivo
1109,Me parece muy buena empresa para obtener más esperiencia en la parte lavar,positivo
1110,Carnicería picador y para despite mis cervicios al clinte me gustaría trabajar aqui,positivo
1111,"Muy buena en toda su atencion al cliente,buena abtitud y responsabilidad",positivo
1112,Me considero un persona con empatía servicial que tiene una buena disposición y se le hace fácil trabajar en equipo,positivo
1113,Buena,positivo
1114,Excelente empresa,positivo
1115,empresa con buenas condiciones laborales,positivo
1116,"Gran empresa, aprendizaje continuo, beneficios extra legales.",positivo
1117,buen lugar para trabajar,positivo
1118,Es maravillosa,positivo
1119,Maravillosa,positivo
1120,Excelente empresa,positivo
1121,Excelente,positivo
1122,Es una empresa que aporta y enriquece el conocimiento mediante capacitaciones y el día día se aprende algo nuevo. Trabajo en equipo. Vicio siempre a la mejora continua,positivo
1123,"Empresa con renombre, donde apoyan mucho las personas que desean estudiar, buenas prestaciones, en general, un buen lugar para trabajar",positivo
1124,Es una buena empresa,positivo
1125,La empresa es muy buena para trabajar,positivo
1126,Excelente,positivo
1127,Excelente,positivo
1128,"Muy familiar, humana, grandes seres humanos",positivo
1129,Excelente empresa que se preocupa por sus empleados y tiene un buen producto para la venta.,positivo
1130,"Empresa reconocida, muchos años de experiencia , empresa donde la gente le cree mucho, buen músculo financiero y reconocimiento.",positivo
1131,"Es una empresa organizada, capacita al personal, paga a tiempo, cumple con todas las responsabilidades legales, excelente ambiente de trabajo.",positivo
1132,Excelente,positivo
1133,"muy buena empresa, estabilidad laboral, clima laboral, cumplimiento en los pagos",positivo
1134,exelente,positivo
1135,Excelente empresa,positivo
1136,buena empresa,positivo
1137,Es una empresa donde tienen mucha calidad humana.,positivo
1138,Empresa muy buena,positivo
1139,Muy buena empresa,positivo
1140,Es una muy buena empresa,positivo
1141,Excelente empresa,positivo
1142,"EXCELENTE COMPAÑIA, PERO NECESITO PROYECTARME FINANCIERAMENTE HACIA UNA PENSION DIGNA",positivo
1143,Muy buena.,positivo
1144,es muy buena empresa,positivo
1145,Excelente empresa,positivo
1146,Una empresa con grandes oportunidades de crecer y muy buen ambiente laboral.,positivo
1147,"Demasiado buena, con mucha calidad humana y estable laboralmente",positivo
1148,Excelente compañía,positivo
1149,"Una buena empresa para trabajar,estable económica mente .varias cosas por cambiar pero en términos generales se puede trabajar.",positivo
1150,Muy buena empresa excelente para oportunidades,positivo
1151,pagos puntuales.,positivo
1152,Excelente empresa se preocupa por sus trabajadores,positivo
1153,Es una empresa muy seria que brida calidad humana a sus pacientes,positivo
1154,Una empresa llena dé oportunidades y enseñanzas,positivo
1155,Excelente empresa pago oportuno y capacitación constante,positivo
1156,muy buenas,positivo
1157,Excelente,positivo
1158,Destaco cierta estabilidad laboral que permite,positivo
1159,Excelente empresa,positivo
1160,La Mejor de Esta Empresa Quisiera Trabajar De Verdad Ayudeme,positivo
1161,Excelente ambiente laboral y buen trato a sus empleados y buen suelto que se ajusta a nuestras nesecidades. Día típico oficios varios Excelente con mis compañeros No hubo parte difícil Todo me gustó de la empresa Dirección : KR4,positivo
1162,Un días típico. En el trabajo Lo que aprendas & De mostrar lo k yo sé en el trabajo,positivo
1163,Buena empresa,positivo
1164,Es una empresa que deja huella,positivo
1165,Ecxente empresa con muchas oportunidad de avanzar.,positivo
1166,es muy buena empresa tiene un gran desarrollo y todo el potencia que tiene de crecimiento. es humana y buena remuneración salarial,positivo
1167,Excelente esmpresa .. en calidad humana . En crecimiento personal.,positivo
1168,Excelente empresa ...con excelente calidad humana piensa mucho en sus colaboradores super recomendada,positivo
1169,"Excelente compañía, muy buen ambiente laboral, grandes valores.",positivo
1170,"Demasiado humana, compañerismo, servicio, integra. excelente empresa",positivo
1171,Una Excelente compañia,positivo
1172,"Es una excelente empresa, con un gran factor humano, son muy flexibles y gran generador de oportunidades a nivel profesional.",positivo
1173,"Es una empresa en donde el crecimiento es constante, siempre retan a las personas a entregar su mejor visión. la innovación es constante, buscar proyectar los mejores profesionales y los retos de nuevos proyectos son constantes",positivo
1174,"La compañía es buena en los pagos, pero el ambiente laboral es algo pesado para ser una compañía en crecimiento con excelentes gerentes y subgerentes en la jerarquía.",positivo
1175,excelente empresa,positivo
1176,Excelente servicio recomendado muy buena asesoría por parte de los funcionarios encargados,positivo
1177,"Excelente, estoy feliz.",positivo
1178,Buena empresa,positivo
1179,Excelente,positivo
1180,Es una muy buena empresa,positivo
1181,Buena,positivo
1182,"Una buena empresa, crecimiento profesional, personal, buen clima laboral.",positivo
1183,buena empresa se preocupa por los colaboradores,positivo
1184,"Empresa solida, con sostenimiento e interés por el capital humano donde sus usuarios son la razón de ser",positivo
1185,excelente,positivo
1186,La mejor EPS del pais,positivo
1187,"Excelente empresa, se aprende mucho",positivo
1188,Excelente,positivo
1189,El ambiente laboral es muy bueno la recomiendo es una buena empresa aquieres muchas experiencias,positivo
1190,Una empresa excelente un buen trato con los empleados,positivo
1191,Es una empresa muy exigente para construir un futuro y le brindan todo lo de ley estere orgulloso de pertenecer a esta empresa,positivo
1192,buena,positivo
1193,Excelente empresa en todos los aspectos,positivo
1194,Excelente,positivo
1195,"Muy buena expresa, respaldo en a nivel nacional de muy alto prestigio",positivo
1196,Una empresa con excelente personal y ambiente laboral,positivo
1197,Buena oportunidad para trabajar.,positivo
1198,Una excelente empresa,positivo
1199,Es una empresa muy buena yo la rocomendaria a toda la poblacion colombiana y pues a mi me gustaria hacer parte de su equipo de trabajo.,positivo
1200,"Es una excelente empresa, es puntual con los pagos,",positivo
1201,Excelente lugar para trabajar,positivo
1202,excelente empresa para trabajar,positivo
1203,me encanta sociedad portuaria por su preocupación por sus trabajadores por qué cada día sean mejores en su labores diarias,positivo
1204,EXCELENTE LUGAR PARA TRABAJAR,positivo
1205,"Buena, cumple con las obligaciones del empleado.",positivo
1206,"Ecelente empresa, con buenos beneficios",positivo
1207,"Es una empresa excelente con una constante preocupación por el bienestar de sus empleados, atenta a su crecimiento personal y profesional",positivo
1208,"Calidad humana, servicio y desarrollo de equipos",positivo
1209,Una excelente empresa da oportunidad para crecer tanto personal como profesional y poder lograr metas y objetivos personales,positivo
1210,"Es una empresa que se preocupa por el bienestar de sus empleados, a pesar de la situación pais. Me ha brindado muchas oportunidades de aprendizaje profesional y personal.",positivo
1211,Buena,positivo
1212,Excelente empresa con oportunidad de crecimiento,positivo
1213,"Excelente empresa, organizada y enfocada al éxito.",positivo
1214,Excelente empresa,positivo
1215,Excelente empresa,positivo
1216,Muy buena empresa,positivo
1217,Buen ambiente laboral,positivo
1218,Excelente,positivo
1219,una muy buena compañia,positivo
1220,es una excelente empresa donde te brindan una estabilidad super buena y adquiere una experiencia muy grande,positivo
1221,Una empresa comprometida con la realización impecable de sus funciones y la creación de un ambiente laboral constructivo.,positivo
1222,Excelente oportunidades laborales con un fin de aprendizaje extraordinario,positivo
1223,"Excelente empresa,",positivo
1224,Excelente Ambiente laboral,positivo
1225,Es una empresa que brinda muchos beneficios,positivo
1226,Excelente,positivo
1227,Una muy buena empresa con un agradable ambiente laboral,positivo
1228,"Es una empresa muy reconocida y hay oportunidades para crecer, muy buen ambiente laboral",positivo
1229,"Estabilidad laboral, trato digno, muy cumplidos con el pago, respetan los derechos del trabajador, etc...",positivo
1230,Excelente empresa,positivo
1231,"Es buena empresa, puntual en sus pagos y ofrece estabilidad.",positivo
1232,excelente empresa,positivo
1233,"Espacio y Mercadeo es una empresa estable, con un ambiente de trabajo amable, puntual con sus pagos de nomina.",positivo
1234,Excelente,positivo
1235,Empresa con buena estabilidad laboral,positivo
1236,Buena,positivo
1237,"Agropecuaria San Fernando, se dedica a la elavoracion de grasas y harinas para la fabricación de cuidos para alimento animal, se caracteriza por ser una empresa comprometida con el medio ambiente y con la calidad humada para sus empleados.",positivo
1238,Exelente empresa,positivo
1239,Excelente ambiente laboral...Todas las prestaciones de ley,positivo
1240,Es una compañía excelente en lo referente al ambiente laboral.,positivo
1241,Comfama es una empresa que propicia bienestar mental a sus trabajadores.,positivo
1242,"Considero que es una excelente empresa, solo que falta más apoyo para el crecimiento laboral y profesional de los empleados",positivo
1243,excelente empresa,positivo
1244,Es una buena empresa y es recomendable para trabajar otras personas,positivo
1245,Excelente posibilidad de comprender mas la dinámica del sector desde lo social,positivo
1246,Es una empresa laboral mente excelente,positivo
1247,Calidad humana,positivo
1248,muy buena empresa,positivo
1249,Excelente empresa,positivo
1250,Excelente empresa,positivo
1251,"fue una expreriencia sorprendente, gracias de corazón por acogerme y tener el gusto de ser parte de esa gran familia",positivo
1252,"es una buena empresa, tiene mucha colaboración para su desarrollo de estudio.",positivo
